Date,Band,date.x,month.x,Microfilaria_Infected,num_fieldsinspected,field1_erythrocytes,field2_erythrocytes,field3_erythrocytes,field4_erythrocytes,field5_erythrocytes,average_erythrocytes,total_erythrocytes,heterophil,lymphocyte,eosinophil,thrombocyte,monocyte,basophil,H.L_ratio,total_leukocyte,notes,Species,Extraction_date,MF,pox_type,Sex,PCR_sex,use_sex,Plumage,Estado.reproductivo,Beak_length,Beak_depth,Beak_width,Tarsus,Wing.Chord,Mass,Pox_IUR,Pox_scale,Pox_size_lesion,season,trad_season,wet_dry,month.y,Microscopy,PCR,Body_condition
8-Mar-24,SM2146,4-Jul-23,July,U,25,561,584,566,766,379,571.2,14280,0,65,1,10,1,0,0,77,,FOR,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,7,mic,NA,21.97495651
8-Mar-24,SMA1417,4-Jul-23,July,U,25,486,320,286,317,319,345.6,8640,3,32,0,5,0,0,0.09375,40,,FUL,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,7,mic,NA,13.26982915
11-Mar-24,SMC072,30-Jun-23,June,U,25,440,430,548,541,384,468.6,11715,4,145,0,17,15,2,0.027586207,183,,GAMO,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,55.51811975
11-Mar-24,SMC082,3-Aug-23,August,U,25,382,340,394,600,482,439.6,10990,6,245,0,12,7,1,0.024489796,271,,GAMO,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,8,mic,NA,55.04732724
14-Mar-24,SMC083,3-Aug-23,August,U,25,460,446,393,522,354,435,10875,4,24,0,9,1,0,0.166666667,38,,GAMO,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,8,mic,NA,38.45263956
14-Mar-24,SMA1513,3-Aug-23,August,U,25,421,413,313,305,365,363.4,9085,5,81,0,26,4,0,0.061728395,116,,FUL,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,2,2,dry,8,mic,NA,11.09998462
14-Mar-24,SMC081,3-Aug-23,August,U,25,442,439,433,377,311,400.4,10010,6,205,0,29,4,0,0.029268293,244,,GAMO,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,2,2,dry,8,mic,NA,49.4816772
19-Mar-24,SMC084,8-Aug-23,August,U,25,484,327,304,365,345,365,9125,1,242,1,39,5,0,0.004132231,288,,GAMO,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,2,2,dry,8,mic,NA,43.31560138
19-Mar-24,SMA1524,8-Aug-23,August,U,25,677,649,538,455,526,569,14225,10,75,5,6,5,0,0.133333333,101,,FUL,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,2,2,dry,8,mic,NA,13.83169883
20-Mar-24,SMA1527,8-Aug-23,August,U,25,603,532,615,518,498,553.2,13830,13,28,0,0,0,0,0.464285714,41,,FUL,NA,neg,NA,F,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,2,2,dry,8,mic,NA,13.89583447
20-Mar-24,SMA1544,10-Aug-23,August,U,25,640,677,456,497,477,549.4,13735,6,64,0,13,0,1,0.09375,84,,FUL,NA,neg,NA,M,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,8,mic,NA,15.02344007
21-Mar-24,SMA1415,30-Jun-23,June,U,25,359,352,475,485,447,423.6,10590,0,21,0,4,2,0,0,27,,PAR,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,11.16804674
21-Mar-24,SMA1412,30-Jun-23,June,U,25,361,351,361,540,590,440.6,11015,5,71,1,0,5,0,0.070422535,82,,PAR,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,6,mic,NA,11.84027215
2-Apr-24,SMA1525,8-Aug-23,August,U,25,385,410,349,388,372,380.8,9520,12,35,0,0,3,0,0.342857143,50,,PAR,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,2,2,dry,8,mic,NA,11.63045443
2-Apr-24,SMA1528,8-Aug-23,August,U,25,520,499,566,521,595,540.2,13505,11,28,0,30,6,0,0.392857143,75,,PAR,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,8,mic,NA,10.91346232
2-Apr-24,SMA1520,8-Aug-23,August,U,25,547,569,549,491,495,530.2,13255,4,36,1,20,6,0,0.111111111,67,,PAR,3-Jul-24,neg,#N/A,U,M,M,0,0,7.56,7.02,4.76,19.15,65,12.37,U,NA,NA,2,2,dry,8,mic,PCR,12.20386929
2-Apr-24,SMS1540,20-Aug-23,August,U,25,418,498,550,547,430,488.6,12215,4,19,0,0,1,0,0.210526316,24,,PAR,NA,neg,NA,U,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,8,mic,NA,11.55454544
10-Apr-24,SM2321,23-Aug-23,August,I,25,480,537,533,410,429,477.8,11945,8,96,4,0,0,0,0.083333333,108,,FOR,NA,pos,NA,M,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,2,2,dry,8,mic,NA,19.74641944
